schema-version, 3
type, dataset, bundleName, moduleName, size, minSize, gzipSize, brSize, bundleRatio, soloGzSize, soloBrSize
type, dataset, bundleName, size, minSize, gzipSize, brSize
module, experiment: drop ie11, ember.js, @ember/application/lib/application.js, 37875, 4512, 1164, 979, 0.0092, 1619, 1428
module, experiment: drop ie11, ember.js, @ember/application/lib/lazy_load.js, 2113, 547, 141, 119, 0.0011, 363, 310
module, experiment: drop ie11, ember.js, @ember/application/lib/validate-type.js, 1021, 441, 114, 96, 0.0009, 275, 226
module, experiment: drop ie11, ember.js, @ember/canary-features/index.js, 3683, 1439, 371, 312, 0.0029, 563, 479
module, experiment: drop ie11, ember.js, @ember/component/index.js, 341, 240, 62, 52, 0.0005, 179, 146
module, experiment: drop ie11, ember.js, @ember/component/template-only.js, 2460, 453, 117, 98, 0.0009, 261, 213
module, experiment: drop ie11, ember.js, @ember/controller/index.js, 1880, 442, 114, 96, 0.0009, 288, 225
module, experiment: drop ie11, ember.js, @ember/controller/lib/controller_mixin.js, 1721, 447, 115, 97, 0.0009, 290, 244
module, experiment: drop ie11, ember.js, @ember/debug/index.js, 10935, 1325, 342, 288, 0.0027, 504, 428
module, experiment: drop ie11, ember.js, @ember/debug/lib/capture-render-tree.js, 840, 317, 82, 69, 0.0006, 238, 182
module, experiment: drop ie11, ember.js, @ember/debug/lib/deprecate.js, 7136, 516, 133, 112, 0.0011, 267, 229
module, experiment: drop ie11, ember.js, @ember/debug/lib/handlers.js, 1019, 263, 68, 57, 0.0005, 199, 156
module, experiment: drop ie11, ember.js, @ember/debug/lib/testing.js, 371, 205, 53, 45, 0.0004, 175, 144
module, experiment: drop ie11, ember.js, @ember/debug/lib/warn.js, 4332, 413, 107, 90, 0.0008, 236, 195
module, experiment: drop ie11, ember.js, @ember/deprecated-features/index.js, 1726, 634, 164, 138, 0.0013, 346, 284
module, experiment: drop ie11, ember.js, @ember/engine/index.js, 18109, 3809, 982, 827, 0.0078, 1297, 1162
module, experiment: drop ie11, ember.js, @ember/engine/instance.js, 7531, 2813, 726, 611, 0.0057, 1096, 945
module, experiment: drop ie11, ember.js, @ember/engine/lib/engine-parent.js, 1064, 278, 72, 60, 0.0006, 219, 173
module, experiment: drop ie11, ember.js, @ember/error/index.js, 431, 159, 41, 35, 0.0003, 151, 119
module, experiment: drop ie11, ember.js, @ember/instrumentation/index.js, 6595, 1630, 420, 354, 0.0033, 870, 753
module, experiment: drop ie11, ember.js, @ember/modifier/index.js, 513, 358, 92, 78, 0.0007, 211, 172
module, experiment: drop ie11, ember.js, @ember/object/compat.js, 2446, 604, 156, 131, 0.0012, 367, 305
module, experiment: drop ie11, ember.js, @ember/object/computed.js, 4664, 2627, 678, 570, 0.0054, 422, 400
module, experiment: drop ie11, ember.js, @ember/object/index.js, 5175, 764, 197, 166, 0.0016, 431, 365
module, experiment: drop ie11, ember.js, @ember/object/lib/computed/computed_macros.js, 34295, 1979, 510, 430, 0.004, 600, 538
module, experiment: drop ie11, ember.js, @ember/object/lib/computed/reduce_computed_macros.js, 47890, 3638, 938, 790, 0.0074, 1223, 1113
module, experiment: drop ie11, ember.js, @ember/polyfills/index.js, 915, 564, 145, 122, 0.0011, 269, 233
module, experiment: drop ie11, ember.js, @ember/polyfills/lib/assign.js, 1523, 340, 88, 74, 0.0007, 250, 199
module, experiment: drop ie11, ember.js, @ember/polyfills/lib/merge.js, 1435, 282, 73, 61, 0.0006, 227, 189
module, experiment: drop ie11, ember.js, @ember/polyfills/lib/weak_set.js, 760, 418, 108, 91, 0.0009, 265, 218
module, experiment: drop ie11, ember.js, @ember/runloop/index.js, 25834, 1897, 489, 412, 0.0039, 748, 646
module, experiment: drop ie11, ember.js, @ember/service/index.js, 2061, 421, 109, 91, 0.0009, 291, 221
module, experiment: drop ie11, ember.js, @ember/string/index.js, 12919, 2854, 736, 620, 0.0058, 987, 857
module, experiment: drop ie11, ember.js, @ember/string/lib/string_registry.js, 616, 243, 63, 53, 0.0005, 179, 139
module, experiment: drop ie11, ember.js, @glimmer/encoder.js, 1796, 964, 249, 209, 0.002, 460, 376
module, experiment: drop ie11, ember.js, @glimmer/low-level.js, 1984, 940, 242, 204, 0.0019, 409, 364
module, experiment: drop ie11, ember.js, @glimmer/node.js, 5745, 2578, 665, 560, 0.0053, 965, 827
module, experiment: drop ie11, ember.js, @glimmer/opcode-compiler.js, 80923, 30963, 7987, 6721, 0.0631, 8118, 7263
module, experiment: drop ie11, ember.js, @glimmer/program.js, 14755, 6159, 1589, 1337, 0.0126, 1738, 1560
module, experiment: drop ie11, ember.js, @glimmer/reference.js, 18159, 7291, 1881, 1583, 0.0149, 2382, 2195
